Test
Sample	Base Mass	Observed Ion m/z	Group	Type	Name	CAS	Formula	InChIKey	Quant S/N	R.T. (min)	Quant Masses	Tailing Factor	Area	Area %	Stick Count	Concerns	Retention Index	Lib. RI	Similarity	Probability	Hit #	Peak Number	Hit 1 Name	Hit 1 Similarity	Hit 1 Probability	Hit 1 InChIKey	Hit 1 CAS	Hit 1 Formula	Hit 1 Contributor	Hit 1 Library	Hit 1 Lib. RI	Hit 2 Name	Hit 2 Similarity	Hit 2 Probability	Hit 2 InChIKey	Hit 2 CAS	Hit 2 Formula	Hit 2 Contributor	Hit 2 Library	Hit 2 Lib. RI	Hit 3 Name	Hit 3 Similarity	Hit 3 Probability	Hit 3 InChIKey	Hit 3 CAS	Hit 3 Formula	Hit 3 Contributor	Hit 3 Library	Hit 3 Lib. RI	Hit 4 Name	Hit 4 Similarity	Hit 4 Probability	Hit 4 InChIKey	Hit 4 CAS	Hit 4 Formula	Hit 4 Contributor	Hit 4 Library	Hit 4 Lib. RI	Hit 5 Name	Hit 5 Similarity	Hit 5 Probability	Hit 5 InChIKey	Hit 5 CAS	Hit 5 Formula	Hit 5 Contributor	Hit 5 Library	Hit 5 Lib. RI
200630_eQC4	147.08	195.10		Unknown	"Methanone, (2,3-dihydro-5-benzofuryl)(4-morpholyl)-"		C13H15NO3	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/VGOJQRUVWAQGBE-UHFFFAOYSA-N"">VGOJQRUVWAQGBE-UHFFFAOYSA-N</a>"	25014	8.57552	XIC(147.08±500ppm)	19.46	6884897293	3.033	70	Spectra Search{Unable to do spectral search}	895.0		840	72.7	1	6	"Methanone, (2,3-dihydro-5-benzofuryl)(4-morpholyl)-"	840	72.7	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/VGOJQRUVWAQGBE-UHFFFAOYSA-N"">VGOJQRUVWAQGBE-UHFFFAOYSA-N</a>"		C13H15NO3	"A.A.Kutin, Moscow, Russia"	mainlib		"Pyrazine, 2,3-dimethyl-5-(1-propenyl)-, (Z)-"	798	16.3	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/BNYRAFHQRSHWGQ-PLNGDYQASA-N"">BNYRAFHQRSHWGQ-PLNGDYQASA-N</a>"	55138-72-2	C9H12N2	TNO Volatile Compounds in Food - Chemical Concepts	mainlib	1247 ± 0(1)	"Pyrazine, 2,3-dimethyl-5-(1-propenyl)-, (E)-"	767	4.4	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/BNYRAFHQRSHWGQ-SNAWJCMRSA-N"">BNYRAFHQRSHWGQ-SNAWJCMRSA-N</a>"	55138-76-6	C9H12N2	TNO Volatile Compounds in Food - Chemical Concepts	mainlib		3-Methylbenzothiophene	764	3.9	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/SEBRPHZZSLCDRQ-UHFFFAOYSA-N"">SEBRPHZZSLCDRQ-UHFFFAOYSA-N</a>"	1455-18-1	C9H8S	TNO Volatile Compounds in Food - Chemical Concepts	mainlib	1315 ± 0(3)	"4-Formyl-3,5-dimethyl-1H-pyrrole-2-carbonitrile"	735	1.1	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/VIKAOEYUWJYWRC-UHFFFAOYSA-N"">VIKAOEYUWJYWRC-UHFFFAOYSA-N</a>"		C8H8N2O	"A.A.Kutin, Moscow, Russia"	mainlib	
200630_eQC4	146.04	191.11		Unknown	"Methoxyamine, 2TMS derivative"	7266-76-4	C7H21NOSi2	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FNQBMWGJZYQTCK-UHFFFAOYSA-N"">FNQBMWGJZYQTCK-UHFFFAOYSA-N</a>"	297328	8.60842	XIC(146.04±500ppm)	9.64	36124023896	15.913	132	Saturated; Spectra Search{Unable to do spectral search}	896.4		789	94.2	1	7	"Methoxyamine, 2TMS derivative"	789	94.2	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FNQBMWGJZYQTCK-UHFFFAOYSA-N"">FNQBMWGJZYQTCK-UHFFFAOYSA-N</a>"	7266-76-4	C7H21NOSi2	Chemical Concepts	replib		"Methoxyamine, 2TMS derivative"	737	83.0	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FNQBMWGJZYQTCK-UHFFFAOYSA-N"">FNQBMWGJZYQTCK-UHFFFAOYSA-N</a>"	7266-76-4	C7H21NOSi2	"NIST Mass Spectrometry Data Center, 2008"	mainlib		"Methoxyamine, 2TMS derivative"	687	94.2	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FNQBMWGJZYQTCK-UHFFFAOYSA-N"">FNQBMWGJZYQTCK-UHFFFAOYSA-N</a>"	7266-76-4	C7H21NOSi2	"D.HENNEBERG, MAX-PLANCK INSTITUTE, MULHEIM, WEST GERMANY"	replib		"2-Quinolinecarboxylic acid, 1,2,3,4-tetrahydro-4-oxo-, (S)-"	652	7.5	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/VYOPZMJTHXGKID-QMMMGPOBSA-N"">VYOPZMJTHXGKID-QMMMGPOBSA-N</a>"	492-26-2	C10H9NO3		mainlib		"1H-Indole-3-acetic acid, 5-hydroxy-"	643	2.8	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/DUUGKQCEGZLZNO-UHFFFAOYSA-N"">DUUGKQCEGZLZNO-UHFFFAOYSA-N</a>"	54-16-0	C10H9NO3	"AAFS Toxicology Section MS DB Committee, U. Alberta, Canada"	replib	
200630_eQC4	146.02	191.12		Unknown	"Methoxyamine, 2TMS derivative"	7266-76-4	C7H21NOSi2	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FNQBMWGJZYQTCK-UHFFFAOYSA-N"">FNQBMWGJZYQTCK-UHFFFAOYSA-N</a>"	3790	9.04629	XIC(146.02±500ppm)	0.10	1206794697	0.532	58	Saturated; Spectra Search{Unable to do spectral search}	914.6		891	98.5	1	9	"Methoxyamine, 2TMS derivative"	891	98.5	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FNQBMWGJZYQTCK-UHFFFAOYSA-N"">FNQBMWGJZYQTCK-UHFFFAOYSA-N</a>"	7266-76-4	C7H21NOSi2	Chemical Concepts	replib		"Methoxyamine, 2TMS derivative"	857	97.2	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FNQBMWGJZYQTCK-UHFFFAOYSA-N"">FNQBMWGJZYQTCK-UHFFFAOYSA-N</a>"	7266-76-4	C7H21NOSi2	"NIST Mass Spectrometry Data Center, 2008"	mainlib		"Methoxyamine, 2TMS derivative"	844	98.5	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FNQBMWGJZYQTCK-UHFFFAOYSA-N"">FNQBMWGJZYQTCK-UHFFFAOYSA-N</a>"	7266-76-4	C7H21NOSi2	"D.HENNEBERG, MAX-PLANCK INSTITUTE, MULHEIM, WEST GERMANY"	replib		"Galactopyranose, 2,4-di-O-methyl-1,3,6-tris-O-(trimethylsilyl)-"	651	1.0	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/VAYSPDPTAXPXET-UHFFFAOYSA-N"">VAYSPDPTAXPXET-UHFFFAOYSA-N</a>"	55449-69-9	C17H40O6Si3		mainlib		"Glucopyranose, 2,4-di-O-methyl-1,3,6-tris-O-(trimethylsilyl)-"	649	0.9	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/VAYSPDPTAXPXET-UHFFFAOYSA-N"">VAYSPDPTAXPXET-UHFFFAOYSA-N</a>"	55400-19-6	C17H40O6Si3		mainlib	
200630_eQC4	75.04	160.07		Unknown	"L-Alanine, TMS derivative"		C6H15NO2Si	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/OTZAXEIMULLWKT-UHFFFAOYSA-N"">OTZAXEIMULLWKT-UHFFFAOYSA-N</a>"	1212	9.1004	XIC(75.04±500ppm)	1.07	390511459	0.172	149	Spectra Search{Unable to do spectral search}	916.9	932 ± 0(1)	753	91.1	1	16	"L-Alanine, TMS derivative"	753	91.1	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/OTZAXEIMULLWKT-UHFFFAOYSA-N"">OTZAXEIMULLWKT-UHFFFAOYSA-N</a>"		C6H15NO2Si	NIST Mass Spectrometry Data Center	mainlib	932 ± 0(1)	"L-Alanine, TBDMS derivative"	614	3.2	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/NYRRDAIAPQZJNW-UHFFFAOYSA-N"">NYRRDAIAPQZJNW-UHFFFAOYSA-N</a>"		C9H21NO2Si	NIST Mass Spectrometry Data Center	mainlib	1164 ± 0(1)	"L-Alanine, tert.-butyldimethylsilyl ester"	594	1.4	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/NYRRDAIAPQZJNW-UHFFFAOYSA-N"">NYRRDAIAPQZJNW-UHFFFAOYSA-N</a>"		C9H21NO2Si	"NIST Mass Spectrometry Data Center, 2016"	mainlib	1170 ± 0(1)	"Ethylene glycol, TMS derivative"	584	1.0	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/LCUMNKGLHJRIMH-UHFFFAOYSA-N"">LCUMNKGLHJRIMH-UHFFFAOYSA-N</a>"	4403-13-8	C5H14O2Si	"NIST Mass Spectrometry Data Center, 2007"	mainlib	827 ± 0(1)	(Methoxymethyl)trimethylsilane	576	0.8	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/PPNQXAYCPNTVHH-UHFFFAOYSA-N"">PPNQXAYCPNTVHH-UHFFFAOYSA-N</a>"	14704-14-4	C5H14OSi	NIST Mass Spectrometry Data Center	mainlib	
200630_eQC4	73.06	104.46		Unknown	"1,3-Dioxolane-2-methanol"	5694-68-8	C4H8O3	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/ZAGUSKAXELYWCE-UHFFFAOYSA-N"">ZAGUSKAXELYWCE-UHFFFAOYSA-N</a>"	1851	9.12329	XIC(73.06±500ppm)	0.65	401321654	0.177	36	Spectra Search{Unable to do spectral search}	917.8		766	45.2	1	18	"1,3-Dioxolane-2-methanol"	766	45.2	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/ZAGUSKAXELYWCE-UHFFFAOYSA-N"">ZAGUSKAXELYWCE-UHFFFAOYSA-N</a>"	5694-68-8	C4H8O3	Anonymous 2008	mainlib		"2,2'-Bi-1,3-dioxolane"	734	12.1	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/BQMJRGMPYWXDPC-UHFFFAOYSA-N"">BQMJRGMPYWXDPC-UHFFFAOYSA-N</a>"	6705-89-1	C6H10O4		mainlib		"1,3-Dioxolane"	725	8.8	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/WNXJIVFYUVYPPR-UHFFFAOYSA-N"">WNXJIVFYUVYPPR-UHFFFAOYSA-N</a>"	646-06-0	C3H6O2	Japan AIST/NIMC Database- Spectrum MS-NW-4402	mainlib	588 ± 6(2)	"1,3-Dioxolane"	717	22.2	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/WNXJIVFYUVYPPR-UHFFFAOYSA-N"">WNXJIVFYUVYPPR-UHFFFAOYSA-N</a>"	646-06-0	C3H6O2	"NIST Mass Spectrometry Data Center, 1990."	replib	588 ± 6(2)	"2-Butanone, 3-methoxy-3-methyl-"	716	6.4	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/WIDVGAUYQJKBRR-UHFFFAOYSA-N"">WIDVGAUYQJKBRR-UHFFFAOYSA-N</a>"	36687-98-6	C6H12O2	"P.E. BUTLER, ESSO R. & E. CO., LINDEN, NEW JERSEY, USA"	mainlib	
200630_eQC4	126.01	252.01		Unknown	"1,2-Ethandimine, N,N'-ditrifluoroacetyl-"	360-43-0	C6H6F6N2O2	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/BSMXDULOVFUYER-UHFFFAOYSA-N"">BSMXDULOVFUYER-UHFFFAOYSA-N</a>"	5688	9.16193	XIC(126.01±500ppm)	1.15	457501545	0.202	48	Spectra Search{Unable to do spectral search}	919.4	1188 ± 0(1)	702	59.9	1	22	"1,2-Ethandimine, N,N'-ditrifluoroacetyl-"	702	59.9	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/BSMXDULOVFUYER-UHFFFAOYSA-N"">BSMXDULOVFUYER-UHFFFAOYSA-N</a>"	360-43-0	C6H6F6N2O2	"J. Little, Eastman chemical company."	mainlib	1188 ± 0(1)	"1,2-Ethandimine, N,N'-ditrifluoroacetyl-"	700	73.5	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/BSMXDULOVFUYER-UHFFFAOYSA-N"">BSMXDULOVFUYER-UHFFFAOYSA-N</a>"	360-43-0	C6H6F6N2O2	"K. Jacobson, LC, NIDDK, NIH, Bethesda, MD 20892"	replib	1188 ± 0(1)	"1,2-Ethandimine, N,N'-ditrifluoroacetyl-"	698	73.5	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/BSMXDULOVFUYER-UHFFFAOYSA-N"">BSMXDULOVFUYER-UHFFFAOYSA-N</a>"	360-43-0	C6H6F6N2O2	"NIST Mass Spectrometry Data Center, 2016"	replib	1188 ± 0(1)	"Acetamide, N-butyl-2,2,2-trifluoro-"	680	23.7	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/BIBAVAVHXLGIBU-UHFFFAOYSA-N"">BIBAVAVHXLGIBU-UHFFFAOYSA-N</a>"	400-59-9	C6H10F3NO		mainlib		"Ethyl 2-(2,2,2-trifluoroacetamido)acetate"	629	10.5	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/OKCDXJWEZHVZJP-UHFFFAOYSA-N"">OKCDXJWEZHVZJP-UHFFFAOYSA-N</a>"	367-62-4	C6H8F3NO3	"NIST Mass Spectrometry Data Center, 2016"	replib	1031 ± 0(1)
200630_eQC4	267.03	271.00		Unknown	"2,4-Dihydroxybenzaldehyde, 2TMS derivative"	33617-38-8	C13H22O3Si2	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/UIOLBHGUVXPTDV-UHFFFAOYSA-N"">UIOLBHGUVXPTDV-UHFFFAOYSA-N</a>"	930	9.18705	XIC(267.03±500ppm)	8.25	44327156	0.020	10	Spectra Search{Unable to do spectral search}	920.5	1682 ± 0(1)	802	63.8	1	28	"2,4-Dihydroxybenzaldehyde, 2TMS derivative"	802	63.8	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/UIOLBHGUVXPTDV-UHFFFAOYSA-N"">UIOLBHGUVXPTDV-UHFFFAOYSA-N</a>"	33617-38-8	C13H22O3Si2	NIST Mass Spectrometry Data Center	mainlib	1682 ± 0(1)	"2,4-Dihydroxybenzaldehyde, 2TMS derivative"	786	49.6	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/UIOLBHGUVXPTDV-UHFFFAOYSA-N"">UIOLBHGUVXPTDV-UHFFFAOYSA-N</a>"	33617-38-8	C13H22O3Si2	WASHINGTON UNIVERSITY MEDICAL SCHOOL W.R. SHERMAN	replib	1682 ± 0(1)	"2,5-Dihydroxybenzaldehyde, 2TMS derivative"	771	30.0	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/OGDNDISFPNBJNB-UHFFFAOYSA-N"">OGDNDISFPNBJNB-UHFFFAOYSA-N</a>"	56114-69-3	C13H22O3Si2	"G.S. KING, CHEM. PATHOL. DEP., QUEEN CHARLOTTE'S HOSP., LONDON"	replib		"2,5-Dihydroxybenzaldehyde, 2TMS derivative"	767	16.0	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/OGDNDISFPNBJNB-UHFFFAOYSA-N"">OGDNDISFPNBJNB-UHFFFAOYSA-N</a>"	56114-69-3	C13H22O3Si2	WASHINGTON UNIVERSITY MEDICAL SCHOOL W.R. SHERMAN	mainlib		p-Trimethylsilyloxyphenyl-bis(trimethylsilyloxy)ethane	727	3.7	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/DRKVYNKUUYKZHZ-UHFFFAOYSA-N"">DRKVYNKUUYKZHZ-UHFFFAOYSA-N</a>"		C17H34O3Si3	"O A MAMER, MCGILL UNIVERSITY, MONTRE"	mainlib	
200630_eQC4	207.01	356.05		Unknown	"4-Methyl-2,4-bis(p-hydroxyphenyl)pent-1-ene, 2TMS derivative"		C24H36O2Si2	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/YCRIXHKHAODKFH-UHFFFAOYSA-N"">YCRIXHKHAODKFH-UHFFFAOYSA-N</a>"	3531	9.19319	XIC(207.01±500ppm)	1.13	782266900	0.345	35	Spectra Search{Unable to do spectral search}	920.7		729	36.5	1	29	"4-Methyl-2,4-bis(p-hydroxyphenyl)pent-1-ene, 2TMS derivative"	729	36.5	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/YCRIXHKHAODKFH-UHFFFAOYSA-N"">YCRIXHKHAODKFH-UHFFFAOYSA-N</a>"		C24H36O2Si2	"A.Pleshkova, Nesmeyanov Inst.Org.Elem.Cpds, Moscow"	mainlib		"1,2,4-Benzenetricarboxylic acid, 1,2-dimethyl ester"	721	27.2	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/KUQGJFOIULVBKJ-UHFFFAOYSA-N"">KUQGJFOIULVBKJ-UHFFFAOYSA-N</a>"	54699-35-3	C11H10O6	CARL DJERASSI DEPT OF CHEM STANFORD UNIV STANFORD CALIF 94305	mainlib		"Cyclotrisiloxane, hexamethyl-"	715	81.0	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/HTDJPCNNEPUOOQ-UHFFFAOYSA-N"">HTDJPCNNEPUOOQ-UHFFFAOYSA-N</a>"	541-05-9	C6H18O3Si3		replib	851 ± 0(1)	"4-tert-Octylphenol, TMS derivative"	695	8.2	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/LGVXTVHRVKVONW-UHFFFAOYSA-N"">LGVXTVHRVKVONW-UHFFFAOYSA-N</a>"	78721-87-6	C17H30OSi	"A.Pleshkova, Nesmeyanov Inst.Org.Elem.Cpds, Moscow"	mainlib		"Cyclotrisiloxane, hexamethyl-"	692	81.0	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/HTDJPCNNEPUOOQ-UHFFFAOYSA-N"">HTDJPCNNEPUOOQ-UHFFFAOYSA-N</a>"	541-05-9	C6H18O3Si3	Japan AIST/NIMC Database- Spectrum MS-NW-8711	replib	851 ± 0(1)
200630_eQC4	174.10	189.13		Unknown	"Ethanamine, 2TMS derivative"	2477-39-6	C8H23NSi2	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/OGWVYCFORNDBRE-UHFFFAOYSA-N"">OGWVYCFORNDBRE-UHFFFAOYSA-N</a>"	6425	9.25759	XIC(174.10±500ppm)	0.11	253870633	0.112	32	Spectra Search{Unable to do spectral search}	923.4		707	47.7	1	36	"Ethanamine, 2TMS derivative"	707	47.7	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/OGWVYCFORNDBRE-UHFFFAOYSA-N"">OGWVYCFORNDBRE-UHFFFAOYSA-N</a>"	2477-39-6	C8H23NSi2	"N.W. Davies, Centr. Sci. Lab., Univ. Tasmania, Hobart, Australia"	mainlib		"Triethylamine, 2-chloro-2'-hydroxy-, O-TMS"	696	32.7	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/QVNYSCMVVJNIHW-UHFFFAOYSA-N"">QVNYSCMVVJNIHW-UHFFFAOYSA-N</a>"	959062-14-7	C9H22ClNOSi	NIST Mass Spectrometry Data Center	mainlib	1167 ± 0(1)	1-Octylsilatrane	659	8.0	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/RPEZIKXYNXVEST-UHFFFAOYSA-N"">RPEZIKXYNXVEST-UHFFFAOYSA-N</a>"		C14H29NO3Si	"MASS SPECTROSCOPY SOC. OF JAPAN (MSSJ); Used with permission, courtesy of Funatsu Laboratory, University of Tokyo.The copyright reserved by Funatsu Laboratory."	mainlib		"(5-methoxyindol-3-yl)-N,N-diisopropyl-glyoxylamide"	639	3.6	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/CKRKISNXFPSRFT-UHFFFAOYSA-N"">CKRKISNXFPSRFT-UHFFFAOYSA-N</a>"		C17H22N2O3	Drug Lab	mainlib		"Ethanamine, 2TMS derivative"	630	39.1	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/OGWVYCFORNDBRE-UHFFFAOYSA-N"">OGWVYCFORNDBRE-UHFFFAOYSA-N</a>"	2477-39-6	C8H23NSi2	"CBDCOM/ERDEC, Edgewood, MD"	replib	
200630_eQC4	281.03	287.01		Unknown	"Cyclotetrasiloxane, octamethyl-"	556-67-2	C8H24O4Si4	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/HMMGMWAXVFQUOA-UHFFFAOYSA-N"">HMMGMWAXVFQUOA-UHFFFAOYSA-N</a>"	4728	9.40532	XIC(281.03±500ppm)	0.26	1792799652	0.790	50	Spectra Search{Unable to do spectral search}	929.5	994 ± 6(3)	758	96.3	1	49	"Cyclotetrasiloxane, octamethyl-"	758	96.3	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/HMMGMWAXVFQUOA-UHFFFAOYSA-N"">HMMGMWAXVFQUOA-UHFFFAOYSA-N</a>"	556-67-2	C8H24O4Si4	NIST Mass Spectrometry Data Center	replib	994 ± 6(3)	"Cyclotetrasiloxane, octamethyl-"	756	96.3	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/HMMGMWAXVFQUOA-UHFFFAOYSA-N"">HMMGMWAXVFQUOA-UHFFFAOYSA-N</a>"	556-67-2	C8H24O4Si4	Chemical Concepts	replib	994 ± 6(3)	"Cyclotetrasiloxane, octamethyl-"	748	96.3	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/HMMGMWAXVFQUOA-UHFFFAOYSA-N"">HMMGMWAXVFQUOA-UHFFFAOYSA-N</a>"	556-67-2	C8H24O4Si4	"V.A.Korolev, Moscow, Russia"	replib	994 ± 6(3)	"Cyclotetrasiloxane, octamethyl-"	746	70.6	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/HMMGMWAXVFQUOA-UHFFFAOYSA-N"">HMMGMWAXVFQUOA-UHFFFAOYSA-N</a>"	556-67-2	C8H24O4Si4	"R.W.CRAWFORD UNIV. OF CALIFORNIA, LIVERMORE, CALIFORNIA, USA"	mainlib	994 ± 6(3)	"Cyclotetrasiloxane, octamethyl-"	735	96.3	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/HMMGMWAXVFQUOA-UHFFFAOYSA-N"">HMMGMWAXVFQUOA-UHFFFAOYSA-N</a>"	556-67-2	C8H24O4Si4	"Dmitri Zagorevskii, Scientific Instruments & Applications"	replib	994 ± 6(3)
